C:\Users\000\OneDrive\Desktop\fire_predictor_project발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,full_address,LAT,LON
2024,9,29,15:41,일,2024,9,30,16:30,전북,전북,남원,산동,부절,기,작업장실화,산업현장실화,0.31,대한민국 전북 남원 산동,35.49311,127.47316
2024,9,10,14:35,화,2024,9,10,17:52,충남,충남,부여,규암,수목,기,기타(직접입력),원인미상,0.03,대한민국 충남 부여 규암,36.27452,126.88752
2024,9,10,14:24,화,2024,9,10,22:00,경북,경북,상주,화동,신촌,기,기타(직접입력),조사중,1.0,대한민국 경북 상주 화동,36.385477,127.9501924
2024,9,5,6:51,목,2024,9,5,7:26,충남,충남,천안 동남,수신,해정,담,기타(직접입력),담뱃불실화추정,0.02,대한민국 충남 천안 동남 수신,36.7452768,127.2894015
2024,8,18,11:40,일,2024,8,18,16:00,울산,울산,울주,범서,서사,입,기타(직접입력),입산자실화추정,0.2,대한민국 울산 울주 범서,35.5707493,129.2368105
2024,8,15,11:38,목,2024,8,15,12:08,경기,경기,안산,단원,선부,기,기타(직접입력),원인미상,0.01,대한민국 경기 안산 단원,37.35009,126.822414
2024,8,14,15:17,수,2024,8,14,19:15,전남,전남,완도,금당,차우,기,기타(직접입력),전신주단락,0.14,대한민국 전남 완도 금당,34.43926,127.05414
2024,8,12,11:45,월,2024,8,12,12:08,경기,경기,파주,탄현,금산,기,기타(직접입력),조사중,0.01,대한민국 경기 파주 탄현,37.8042615,126.7186775
2024,6,28,12:20,금,2024,6,28,15:50,충남,충남,공주,신풍,용수,담,기타(직접입력),담뱃불실화,0.3,대한민국 충남 공주 신풍,36.5070333,126.9455613
2024,6,21,15:57,금,2024,6,21,20:00,전북,전북,남원,산내,백일,입,기타(직접입력),입산자실화추정,0.33,대한민국 전북 남원 산내,35.40046,127.61642
2024,6,20,14:44,목,2024,6,20,16:05,강원,강원,정선,남면,유평,기,기타(직접입력),전선혼촉,0.04,대한민국 강원 정선 남면,37.2835,128.72975
2024,6,18,17:25,화,2024,6,18,20:30,충남,충남,서천,화양,보현,기,기타(직접입력),원인미상,0.01,대한민국 충남 서천 화양,36.0508194,126.7861149
